project,instance,database,schema,table,data_domain,data_confidentiality,data_product_type,data_owner,operations_owner,data_location,ingestion_frequency
tag-engine-run,goog-dev,user-testing,dev,FINWIRE2024Q1_FIN,FINANCE,PUBLIC,DERIVED,John Williams,Emily Doe,us-central1,WEEKLY
tag-engine-run,goog-dev,user-testing,dev,FINWIRE2024Q1_SEC,FINANCE,PUBLIC,DERIVED,John Williams,Emily Doe,us-central1,DAILY
tag-engine-run,goog-dev,user-testing,dev,FINWIRE2024Q1_CMP,FINANCE,PUBLIC,DERIVED,John Williams,Emily Doe,us-central1,DAILY
tag-engine-run,goog-dev,user-testing,dev,FINWIRE2024Q2_FIN,FINANCE,PUBLIC,DERIVED,John Williams,Emily Doe,us-central1,MONTHLY
tag-engine-run,goog-dev,user-testing,dev,FINWIRE2024Q2_SEC,FINANCE,PUBLIC,DERIVED,John Williams,Emily Doe,us-central1,WEEKLY
tag-engine-run,goog-dev,user-testing,dev,FINWIRE2024Q2_CMP,FINANCE,PUBLIC,DERIVED,John Williams,Emily Doe,us-central1,DAILY
tag-engine-run,goog-dev,user-testing,dev,FINWIRE2024Q3_FIN,FINANCE,PUBLIC,DERIVED,John Williams,Emily Doe,us-central1,DAILY
tag-engine-run,goog-dev,user-testing,dev,FINWIRE2024Q3_SEC,FINANCE,PUBLIC,DERIVED,John Williams,Emily Doe,us-central1,MONTHLY
tag-engine-run,goog-dev,user-testing,dev,FINWIRE2024Q3_CMP,FINANCE,PUBLIC,DERIVED,John Williams,Emily Doe,us-central1,DAILY
tag-engine-run,goog-dev,user-testing,dev,FINWIRE2023Q1_FIN,FINANCE,PUBLIC,DERIVED,John Williams,Emily Doe,us-central1,DAILY
tag-engine-run,goog-dev,user-testing,dev,FINWIRE2023Q1_SEC,FINANCE,PUBLIC,DERIVED,John Williams,Emily Doe,us-central1,DAILY
tag-engine-run,goog-dev,user-testing,dev,FINWIRE2023Q1_CMP,FINANCE,PUBLIC,DERIVED,John Williams,Emily Doe,us-central1,DAILY
tag-engine-run,goog-dev,user-testing,dev,FINWIRE2023Q2_FIN,FINANCE,PUBLIC,DERIVED,John Williams,Emily Doe,us-central1,DAILY
tag-engine-run,goog-dev,user-testing,dev,FINWIRE2023Q2_SEC,FINANCE,PUBLIC,DERIVED,John Williams,Emily Doe,us-central1,WEEKLY
tag-engine-run,goog-dev,user-testing,dev,FINWIRE2023Q2_CMP,FINANCE,PUBLIC,DERIVED,John Williams,Emily Doe,us-central1,DAILY
tag-engine-run,goog-dev,user-testing,dev,FINWIRE2023Q3_FIN,FINANCE,PUBLIC,DERIVED,John Williams,Emily Doe,us-central1,MONTHLY
tag-engine-run,goog-dev,user-testing,dev,FINWIRE2023Q3_SEC,FINANCE,PUBLIC,DERIVED,John Williams,Emily Doe,us-central1,DAILY
tag-engine-run,goog-dev,user-testing,dev,FINWIRE2023Q3_CMP,FINANCE,PUBLIC,DERIVED,John Williams,Emily Doe,us-central1,DAILY
tag-engine-run,goog-dev,user-testing,dev,FINWIRE2023Q4_FIN,FINANCE,PUBLIC,DERIVED,John Williams,Emily Doe,us-central1,WEEKLY
tag-engine-run,goog-dev,user-testing,dev,FINWIRE2023Q4_SEC,FINANCE,PUBLIC,DERIVED,John Williams,Emily Doe,us-central1,WEEKLY
tag-engine-run,goog-dev,user-testing,dev,FINWIRE2023Q4_CMP,FINANCE,PUBLIC,DERIVED,John Williams,Emily Doe,us-central1,DAILY



